"TIME_PERIOD","REF_AREA","MEASURE","SECTOR","STANDARD_REVENUE","CTRY_SPECIFIC_REVENUE","UNIT_MEASURE","FREQ","obsValue","UNIT_MULT","REVENUE_CODE","DECIMALS","CURRENCY","OBS_STATUS"
"2016","EST","TAX_REV","S13","T_1210","_T","USD","A",0.042295,"9","1210","0","_Z","A"
"2023","EST","TAX_REV","S13","T_1210","_T","USD","A",0.19838,"9","1210","0","_Z","A"
"2022","EST","TAX_REV","S13","T_1210","_T","USD","A",0.115974,"9","1210","0","_Z","A"
"2021","EST","TAX_REV","S13","T_1210","_T","USD","A",0.112982,"9","1210","0","_Z","A"
"2020","EST","TAX_REV","S13","T_1210","_T","USD","A",0.093536,"9","1210","0","_Z","A"
"2019","EST","TAX_REV","S13","T_1210","_T","USD","A",0.104738,"9","1210","0","_Z","A"
"2016","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2023","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2022","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2021","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2020","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2019","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2018","PRT","TAX_REV","S13","T_1220","_T","USD","A",NA,"9","1220","0","_Z","A"
"2016","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","DNK","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","MEX","TAX_REV","S13","T_1200","_T","USD","A",70.01802,"9","1200","0","_Z","A"
"2022","MEX","TAX_REV","S13","T_1200","_T","USD","A",56.472188,"9","1200","0","_Z","A"
"2021","MEX","TAX_REV","S13","T_1200","_T","USD","A",44.334501,"9","1200","0","_Z","A"
"2020","MEX","TAX_REV","S13","T_1200","_T","USD","A",38.729166,"9","1200","0","_Z","A"
"2019","MEX","TAX_REV","S13","T_1200","_T","USD","A",41.718148,"9","1200","0","_Z","A"
"2018","MEX","TAX_REV","S13","T_1200","_T","USD","A",42.081641,"9","1200","0","_Z","A"
"2017","MEX","TAX_REV","S13","T_1200","_T","USD","A",40.641033,"9","1200","0","_Z","A"
"2016","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2023","ESP","TAX_REV","S13","T_1210","_T","USD","A",1.366723,"9","1210","0","_Z","A"
"2022","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2021","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2020","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2019","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2018","ESP","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2023","DEU","TAX_REV","S13","T_1210","_T","USD","A",103.421132,"9","1210","0","_Z","A"
"2022","DEU","TAX_REV","S13","T_1210","_T","USD","A",97.541764,"9","1210","0","_Z","A"
"2021","DEU","TAX_REV","S13","T_1210","_T","USD","A",99.548903,"9","1210","0","_Z","A"
"2020","DEU","TAX_REV","S13","T_1210","_T","USD","A",62.668902,"9","1210","0","_Z","A"
"2019","DEU","TAX_REV","S13","T_1210","_T","USD","A",76.795973,"9","1210","0","_Z","A"
"2018","DEU","TAX_REV","S13","T_1210","_T","USD","A",85.106634,"9","1210","0","_Z","A"
"2017","DEU","TAX_REV","S13","T_1210","_T","USD","A",74.677533,"9","1210","0","_Z","A"
"2023","CHE","TAX_REV","S13","T_1200","_T","USD","A",28.551682,"6","1200","0","_Z","A"
"2022","CHE","TAX_REV","S13","T_1200","_T","USD","A",26.178958,"6","1200","0","_Z","A"
"2021","CHE","TAX_REV","S13","T_1200","_T","USD","A",24.924002,"6","1200","0","_Z","A"
"2020","CHE","TAX_REV","S13","T_1200","_T","USD","A",22.78901,"6","1200","0","_Z","A"
"2019","CHE","TAX_REV","S13","T_1200","_T","USD","A",22.331608,"6","1200","0","_Z","A"
