"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2018","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",919356,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",873163,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","D","D1","_Z","_Z","XDC","S","V","N","T0800",832781,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",475704,"W","N","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",446978,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",402167,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",363628,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",351640,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",337708,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",324052,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","D","P51C","_Z","_Z","XDC","S","V","N","T0800",310868,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",7927,"W","N","2","6","AUD","F","A"
"2023","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",977549,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",973449,"W","_Z","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",877766,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",779454,"W","_Z","2","6","AUD","F","A"
