REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
ZMB,USD,2018,590.676,Millions,1200
ZMB,USD,2019,614.098,Millions,1200
ZMB,USD,2020,519.527,Millions,1200
ZMB,USD,2021,974.388,Millions,1200
ZMB,USD,2022,1241.002,Millions,1200
SYC,USD,2016,77.196,Millions,1200
SYC,USD,2017,99.189,Millions,1200
SYC,USD,2018,97.632,Millions,1200
SYC,USD,2019,98.585,Millions,1200
SYC,USD,2020,67.797,Millions,1200
SYC,USD,2021,86.289,Millions,1200
SYC,USD,2022,84.601,Millions,1200
DEU,USD,2016,68.503,Billions,1200
DEU,USD,2017,74.678,Billions,1200
DEU,USD,2018,85.107,Billions,1200
DEU,USD,2019,76.796,Billions,1200
DEU,USD,2020,62.669,Billions,1200
DEU,USD,2021,99.549,Billions,1200
DEU,USD,2022,97.542,Billions,1200
MWI,USD,2016,176.499,Millions,1200
MWI,USD,2017,223.221,Millions,1200
MWI,USD,2018,227.92,Millions,1200
MWI,USD,2019,214.685,Millions,1200
MWI,USD,2020,229.082,Millions,1200
MWI,USD,2021,276.085,Millions,1200
MWI,USD,2022,317.367,Millions,1200
NAM,USD,2016,576.506,Millions,1200
NAM,USD,2017,631.711,Millions,1200
NAM,USD,2018,586.536,Millions,1200
NAM,USD,2019,540.766,Millions,1200
NAM,USD,2020,513.89,Millions,1200
NAM,USD,2021,526.66,Millions,1200
NAM,USD,2022,523.241,Millions,1200
ARM,USD,2016,264.699,Millions,1200
ARM,USD,2017,227.82,Millions,1200
ARM,USD,2018,352.157,Millions,1200
ARM,USD,2019,377.279,Millions,1200
ARM,USD,2020,304.221,Millions,1200
ARM,USD,2021,314.834,Millions,1200
ARM,USD,2022,511.423,Millions,1200
NOR,USD,2016,14.928,Billions,1200
NOR,USD,2017,19.418,Billions,1200
NOR,USD,2018,28.227,Billions,1200
NOR,USD,2019,24.3,Billions,1200
NOR,USD,2020,10.25,Billions,1200
NOR,USD,2021,49.111,Billions,1200
NOR,USD,2022,108.974,Billions,1200
KGZ,USD,2016,52.335,Millions,1200
KGZ,USD,2017,62.459,Millions,1200
KGZ,USD,2018,79.954,Millions,1200
